report_id,days_policy_to_claim,claim_amount,sum_insured,claim_count_1y,was_investigated,policy_count,label
R0,93,5121.38296509377,100000,3,0,2,1
R1,602,8748.138982688382,100000,0,0,2,1
R2,263,23888.189102637134,500000,2,0,3,1
R3,182,8261.266736939711,200000,2,0,4,0
R4,33,31126.34305203302,100000,0,1,1,1
R5,33,19288.79709169664,100000,3,0,1,0
R6,11,20855.947039445255,500000,2,0,4,1
R7,402,17216.27032392106,500000,1,0,4,1
R8,183,27728.478385437233,500000,0,0,1,0
R9,246,27831.598877770106,500000,1,0,3,1
R10,4,23350.543519121715,500000,0,0,1,1
R11,700,25647.89105907648,100000,0,0,4,1
R12,357,17879.103300795745,50000,0,0,2,0
R13,47,25422.030069090484,50000,0,0,1,1
R14,40,16621.22224526193,50000,1,0,4,1
R15,40,20022.31622162402,100000,2,0,2,1
R16,72,17253.562506337024,200000,1,0,1,0
R17,148,15427.81460680804,100000,0,0,3,1
R18,113,13108.882022782098,50000,2,0,3,1
R19,68,24676.901038588854,50000,1,0,1,1
R20,189,33106.059128134635,500000,3,0,1,1
R21,30,31711.019716695595,500000,0,0,2,1
R22,69,7434.346640545646,500000,0,0,3,0
R23,91,32892.030514068734,100000,0,0,4,1
R24,121,16818.414983820712,200000,0,0,1,1
R25,307,26007.330151455917,200000,0,0,3,0
R26,44,10937.84667952789,500000,2,0,3,1
R27,144,21419.799138740054,200000,1,0,1,0
R28,179,23137.23182896907,50000,0,1,1,1
R29,9,5153.952080803472,50000,1,0,4,1
R30,187,26082.67166344189,500000,2,0,1,1
R31,37,33459.350078383155,500000,1,0,4,1
R32,13,18253.52054318372,500000,1,0,1,1
R33,594,33601.68130828013,200000,0,0,2,1
R34,674,18103.065065475923,100000,2,0,1,1
R35,330,28495.845310466175,500000,1,1,2,1
R36,72,1000.0,200000,4,0,1,1
R37,20,44187.777793134635,500000,1,0,3,1
R38,230,34954.58245242957,100000,0,0,1,1
R39,116,17153.744957463212,500000,3,0,2,1
R40,26,1000.0,50000,0,0,1,1
R41,136,22880.28368305489,500000,0,0,1,0
R42,6,5560.744529262431,50000,1,0,3,1
R43,480,24448.53537557488,50000,1,0,3,0
R44,59,24115.65719164282,200000,1,0,2,0
R45,217,10585.968309979751,200000,4,0,1,1
R46,74,31209.67023614378,50000,0,1,1,1
R47,146,28055.747028061734,50000,1,0,3,0
R48,158,29758.233372885632,500000,3,1,2,1
R49,40,20088.577036688956,500000,0,0,1,0
R50,698,5844.759330862935,50000,0,1,2,1
R51,298,29778.722722111375,200000,0,0,2,1
R52,561,17296.286008642088,500000,0,1,2,1
R53,450,6102.198568073309,500000,1,0,3,1
R54,182,33520.39365974326,500000,1,0,4,1
R55,509,40994.07520502509,200000,0,0,3,1
R56,18,19587.51871020797,50000,0,0,1,1
R57,43,41591.21154603292,500000,0,0,2,0
R58,9,20913.147286113497,200000,0,1,2,1
R59,78,16195.440958336489,200000,0,0,2,0
R60,98,13695.415458145224,200000,2,0,1,1
R61,63,36370.82407992742,200000,1,1,1,0
R62,352,12198.561186122282,500000,1,0,2,0
R63,88,27352.693099749875,50000,0,1,2,1
R64,65,14408.361649407918,50000,0,1,2,1
R65,156,15396.932374256368,200000,0,0,1,1
R66,30,30302.49693969567,50000,3,0,2,1
R67,324,16199.631537106463,500000,1,1,2,1
R68,15,15952.046205797069,50000,2,0,3,1
R69,866,31328.046971748074,50000,2,0,2,1
R70,295,35973.97293221623,100000,0,0,3,0
R71,44,26446.898032842335,50000,2,0,2,1
R72,1,13452.302243760507,50000,1,0,3,0
R73,337,14893.915007024207,200000,1,0,3,1
R74,245,20799.152637400373,200000,1,0,1,0
R75,261,23209.300619256574,100000,1,0,2,0
R76,295,10121.34089860228,500000,2,0,2,1
R77,15,27230.379395798638,100000,2,0,2,1
R78,88,20855.13329639599,50000,1,0,3,1
R79,24,2842.9168136187072,50000,0,0,1,1
R80,397,10710.735175392696,500000,2,0,4,1
R81,195,14958.713263483363,500000,0,0,3,1
R82,80,19271.42311158945,200000,2,0,4,1
R83,13,38892.78795503996,50000,1,0,3,1
R84,74,22381.713061396284,50000,0,0,3,1
R85,78,11592.28110101375,50000,1,0,2,1
R86,261,22206.308043071633,50000,0,0,3,1
R87,202,16479.12252546119,50000,1,0,3,0
R88,436,23247.58239533542,50000,1,0,1,1
R89,127,25805.676870356147,50000,1,0,2,0
R90,25,32092.306472239383,50000,1,0,1,1
R91,249,19757.135043299742,200000,0,0,4,1
R92,286,36389.60527599833,100000,0,1,2,1
R93,164,29080.226625361913,50000,1,0,1,0
R94,294,12925.604551878121,200000,1,0,2,0
R95,136,42098.556657484645,50000,2,0,2,0
R96,147,23269.945132700977,500000,3,0,4,1
R97,111,11648.754960277649,50000,2,0,3,0
R98,5,36529.13051230422,100000,0,0,4,1
R99,22,40777.77585198445,200000,2,1,1,1
R100,6,19669.747362804395,500000,1,0,2,1
R101,202,14963.497396244036,500000,0,0,3,1
R102,75,18276.250425463382,50000,1,0,1,0
R103,142,27147.317275176996,100000,2,0,4,0
R104,476,32778.56655030514,100000,0,0,2,1
R105,57,25704.873308635735,50000,1,0,4,0
R106,105,21017.232084717696,50000,1,0,2,0
R107,281,34980.11770304428,200000,0,0,2,0
R108,51,16871.635269484777,200000,1,0,3,1
R109,16,30309.193383669073,50000,0,0,4,1
R110,68,17119.372016487214,50000,0,0,1,0
R111,35,24310.22958010893,500000,1,0,2,1
R112,530,18864.374352095485,100000,2,0,2,0
R113,330,19441.478173471893,200000,1,0,1,0
R114,200,16226.134825377902,50000,1,0,1,0
R115,410,33448.540311806944,50000,0,0,1,1
R116,325,12670.73961891465,200000,0,0,1,1
R117,41,12597.677474512915,500000,4,0,4,1
R118,446,41209.9356584511,500000,1,0,2,0
R119,155,29778.475646543317,50000,1,1,3,1
R120,329,1000.0,100000,2,0,1,1
R121,452,14347.412607895963,100000,2,0,3,0
R122,76,1880.1066243794594,50000,0,0,3,1
R123,23,10493.093065847448,200000,0,1,3,1
R124,51,1000.0,100000,0,1,4,0
R125,111,18630.104223060574,200000,3,0,1,1
R126,340,8580.581808386885,200000,0,0,3,1
R127,394,20599.052567964383,200000,1,0,3,1
R128,1,3748.7874111747515,500000,2,0,2,0
R129,142,20829.1185317204,100000,1,0,1,1
R130,108,15850.837218796727,500000,1,0,4,0
R131,50,35019.529651885954,100000,2,0,1,0
R132,25,34113.56861745625,50000,0,0,1,1
R133,82,27853.45603010283,200000,0,0,1,1
R134,572,16733.862193387875,100000,0,0,1,0
R135,78,39853.80395260293,100000,1,0,2,1
R136,146,4469.647221601794,50000,1,0,3,1
R137,242,5964.413704363375,500000,2,0,2,0
R138,90,19162.169001109352,100000,2,0,4,1
R139,713,42540.381089211194,100000,1,0,3,1
R140,656,17976.610931299125,500000,0,0,1,0
R141,58,18167.547567907182,500000,1,0,2,0
R142,137,5580.896438881908,100000,1,0,1,1
R143,71,29459.295852703784,500000,0,0,1,1
R144,67,29531.76254329354,50000,1,1,4,0
R145,7,27890.7520139991,50000,1,0,3,1
R146,188,13707.793271526376,200000,3,0,4,1
R147,139,12932.932316269944,100000,1,0,4,1
R148,10,7068.777495950295,50000,0,0,3,0
R149,65,20838.725017609337,50000,0,0,4,1
R150,477,9195.926707214983,50000,1,0,3,0
R151,54,8225.834947507114,200000,1,0,4,1
R152,31,15763.092830893242,500000,1,0,2,1
R153,134,15108.43824815784,200000,1,0,3,1
R154,848,14620.214711780449,200000,3,0,1,1
R155,55,24664.445968402615,200000,0,1,4,1
R156,223,20790.478021502793,200000,1,1,4,1
R157,286,17118.439694888824,100000,0,0,3,0
R158,54,21830.12928311482,100000,1,0,4,0
R159,260,10084.729588953678,50000,0,0,4,1
R160,91,21052.78623909678,200000,1,0,3,0
R161,200,21506.02492844634,200000,0,1,3,0
R162,200,4969.531406425194,50000,1,0,4,1
R163,153,29956.93754370362,500000,1,1,3,0
R164,18,11185.662947730045,100000,1,0,4,1
R165,360,20903.09799206435,200000,1,0,4,0
R166,77,31644.117405352703,500000,0,0,4,0
R167,41,29256.767577138693,500000,1,0,1,1
R168,8,20343.333885688357,200000,2,0,3,1
R169,178,16375.009971179315,200000,1,0,1,0
R170,226,29475.119085755672,500000,3,0,2,1
R171,3,26746.9497780862,100000,2,0,2,1
R172,143,13816.3497995587,100000,1,1,4,1
R173,51,12051.063529983096,200000,0,0,1,0
R174,207,1000.0,200000,1,0,4,0
R175,38,21540.318416835875,50000,1,0,4,1
R176,234,19173.022549816014,50000,0,1,4,1
R177,97,31361.913746425424,100000,2,1,4,1
R178,552,23590.550934803665,50000,0,0,4,0
R179,29,33342.2919417269,500000,1,0,2,1
R180,83,13026.357720838292,500000,0,0,3,0
R181,24,31381.503309676184,500000,0,0,3,1
R182,517,14710.83620895345,500000,0,1,3,0
R183,419,27775.96061792272,200000,1,0,2,0
R184,59,5412.416074693065,500000,0,1,1,1
R185,215,22351.352993661887,100000,1,0,2,1
R186,339,1000.0,50000,2,0,2,0
R187,162,17328.62514058245,100000,1,0,1,0
R188,150,24403.539938779137,200000,1,0,4,0
R189,55,14790.314487689044,50000,1,1,4,0
R190,19,9495.623712440327,50000,0,0,4,1
R191,455,28461.184692959338,50000,0,0,1,0
R192,461,18965.372101530767,500000,1,0,2,1
R193,200,15104.293529693285,200000,0,0,2,1
R194,82,20418.959211542766,100000,2,0,1,0
R195,85,46366.691419455885,500000,0,0,4,1
R196,258,31535.028497815438,50000,1,0,1,1
R197,454,31625.736681878403,100000,3,0,2,1
R198,436,24355.46318992364,100000,0,0,3,0
R199,302,21664.85272577147,100000,0,0,3,1
R200,205,1000.0,200000,2,0,3,0
R201,17,13210.19653536868,500000,2,0,4,0
R202,35,15194.255867975255,200000,0,0,4,0
R203,457,1251.0793595246687,50000,0,0,4,0
R204,186,8425.842097845663,50000,2,0,4,0
R205,1,1000.0,100000,0,1,1,1
R206,21,19616.761643026275,100000,0,0,3,1
R207,217,28187.65970848816,100000,1,1,3,1
R208,1,31067.745186243286,200000,1,0,4,0
R209,35,24147.844620792413,500000,1,0,4,1
R210,159,10366.03658801431,200000,2,0,1,0
R211,235,1000.0,50000,1,0,1,1
R212,211,2431.313005984979,100000,1,0,1,1
R213,50,7310.174227455016,100000,2,0,3,0
R214,249,11111.403019643254,200000,1,0,3,0
R215,54,18402.515020084134,50000,1,0,3,1
R216,78,9858.357818730317,500000,1,0,3,1
R217,274,23389.758936682614,100000,0,0,1,0
R218,209,17677.264972005272,100000,0,0,4,0
R219,378,20105.457117410257,50000,1,0,3,1
R220,214,31402.505526712048,100000,0,0,1,0
R221,168,8197.6826579963,500000,0,0,4,1
R222,19,24187.045782923684,200000,0,0,2,1
R223,91,19860.267715239268,50000,0,0,4,1
R224,61,16665.13719030305,100000,1,0,2,1
R225,55,28852.5632086596,100000,1,0,2,0
R226,722,28790.141545570074,500000,1,0,3,0
R227,99,10535.092040115718,200000,0,1,1,1
R228,445,18178.394161420758,500000,1,0,4,1
R229,199,22812.116825840654,200000,0,1,2,1
R230,316,17269.932519774156,500000,1,0,1,0
R231,139,25850.213322877982,200000,1,0,4,0
R232,172,22811.920179102755,100000,0,0,3,0
R233,135,38325.612403560124,100000,0,0,4,1
R234,43,4697.208640702123,100000,1,0,3,0
R235,256,18775.640102526024,50000,0,0,4,0
R236,65,10914.97488487809,200000,1,0,4,0
R237,4,26041.07455439044,50000,1,0,2,1
R238,207,3828.2810995445543,200000,1,0,2,0
R239,38,23463.127102248865,100000,1,1,2,1
R240,564,13699.515686516588,50000,1,0,3,1
R241,615,12658.381338789859,50000,2,0,4,1
R242,492,5535.0179645931275,500000,1,0,4,0
R243,92,15349.24053798994,200000,0,0,3,0
R244,3,30845.005302909256,500000,0,0,4,1
R245,527,19748.113164705206,50000,2,0,2,1
R246,111,26276.804178744744,50000,0,0,3,0
R247,680,36646.41821966275,100000,0,0,3,1
R248,662,22637.55584822576,500000,1,0,4,0
R249,383,14412.004279376593,500000,1,0,2,0
R250,69,24672.5221518279,500000,0,0,4,1
R251,97,14557.03853685708,200000,0,0,4,0
R252,380,14955.773167028306,50000,1,0,3,0
R253,76,4801.072003810152,500000,1,0,3,0
R254,37,29262.574910843923,100000,1,0,1,1
R255,162,16139.974243505607,50000,2,0,4,1
R256,550,21820.98245815862,100000,0,0,1,0
R257,238,9640.380713933606,50000,1,0,4,1
R258,168,24359.476297154724,100000,1,0,1,0
R259,20,12380.587618649162,500000,1,1,4,1
R260,190,18582.91278298176,500000,0,0,3,1
R261,922,28778.260312391256,100000,1,0,3,0
R262,30,27907.593122325292,200000,0,0,1,1
R263,146,19779.699274830597,100000,0,0,1,1
R264,419,2318.689672932818,50000,1,0,1,1
R265,270,49928.105700606415,100000,2,0,2,0
R266,238,37458.58970273136,100000,1,0,1,1
R267,242,27226.748248882985,50000,1,0,1,1
R268,89,12467.962184090291,500000,2,0,1,0
R269,69,18864.078382980355,50000,0,0,2,0
R270,331,14565.795702234831,100000,0,0,2,1
R271,332,32638.559390963885,50000,1,0,4,1
R272,403,22625.02890851834,100000,0,0,3,0
R273,488,12158.361416401673,500000,2,0,1,0
R274,143,15292.44900875218,100000,0,0,1,0
R275,139,31211.881425699044,100000,2,0,3,0
R276,320,36000.97846820478,500000,0,0,4,1
R277,209,35283.315634862454,50000,2,0,4,0
R278,242,27570.320650539776,200000,1,0,1,1
R279,317,17473.751311973632,200000,1,0,3,0
R280,441,1000.0,100000,1,0,1,1
R281,82,22971.600238082217,100000,1,0,1,1
R282,94,19981.712411558998,500000,3,0,1,1
R283,19,21399.820963213537,50000,0,0,3,1
R284,172,20538.973470332065,200000,3,0,3,1
R285,7,6737.3783805084295,200000,0,0,4,1
R286,125,25574.085568511855,500000,0,0,3,1
R287,156,26322.163140318502,500000,3,0,3,1
R288,67,26823.387820596592,200000,0,0,3,1
R289,178,29465.770035733865,50000,1,0,2,0
R290,6,26040.516449216233,50000,1,0,4,1
R291,7,15899.705884610892,50000,1,1,3,1
R292,345,19291.6315208391,100000,1,0,1,1
R293,89,20911.24867253377,50000,2,1,2,1
R294,27,21076.994491066183,100000,0,1,2,1
R295,147,29982.1765597173,100000,1,0,4,1
R296,293,26436.68753022491,500000,0,0,2,0
R297,48,40773.43439569953,100000,2,0,2,0
R298,195,42064.689798846724,100000,0,0,4,1
R299,17,20796.49582613925,500000,1,0,3,0
R300,10,1000.0,50000,0,0,4,1
R301,151,32368.324661272665,50000,0,0,1,0
R302,155,14596.236610129457,200000,0,0,3,1
R303,202,11985.160781689932,200000,2,0,3,0
R304,258,16015.547250106332,100000,1,0,2,1
R305,744,15533.569531853936,200000,0,0,3,1
R306,145,26122.698101053924,500000,1,0,2,1
R307,78,4405.642208737745,200000,1,0,3,1
R308,317,9222.792542083984,200000,1,0,4,1
R309,63,23431.585541974167,100000,0,0,2,1
R310,115,26229.44030413308,500000,0,0,4,0
R311,16,26415.41644936012,200000,0,0,2,1
R312,5,12129.63721066701,50000,0,0,2,1
R313,657,10217.3435073376,500000,0,0,2,0
R314,361,14933.651662120807,500000,5,0,3,1
R315,238,22398.72752284725,100000,2,0,3,0
R316,105,34854.773692725495,500000,0,1,4,0
R317,38,1000.0,500000,1,0,1,0
